ResponseId,A.S. President,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - Engineering,Collegiate Senator - Engineering,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
R_00000000000068,1,2,,,2,1,1,2,1,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,3,2,5,,1,,,,
R_00000000000069,1,2,3,,1,2,1,2,1,2,1,3,,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,2,4,1,,,,
R_00000000000070,1,2,,,1,2,2,1,1,2,1,,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,2,5,1,,,,,
R_00000000000071,1,,2,Navpreet Khabra,1,,1,,1,,,2,,,,,1,,,,2,5,6,1,7,,,,,4,3,,,,,,,8,,,,,,,,,,,,,
R_00000000000072,2,1,,,,1,,1,,1,1,,3,2,1,4,,,,,,,,,,1,11,5,8,,,3,10,2,4,9,6,,7,,,,,,,,,,,,
R_00000000000073,3,1,2,Hieu Le,,1,,1,,1,1,1,,2,4,3,,,,,,,11,4,,9,5,7,,1,,6,10,12,,3,8,,2,,,,,,,,,,,1,2
R_00000000000074,,1,,,,1,,1,,1,1,,3,1,2,4,,,,,,,,,,4,3,1,11,,,6,10,8,2,7,9,,5,,,,,,,,,,,,1
R_00000000000075,1,2,,,1,2,1,2,1,2,,2,,,,,1,,,,7,3,2,4,6,,,,,5,8,,,,,,,1,,,,,,,,,,,,,
R_00000000000076,3,1,2,Benjamin Piatt Runkle,2,1,2,1,2,1,1,,1,,4,3,2,,,,,5,2,,,1,11,12,7,,,3,9,,6,8,4,,10,,,,,,,,,,,,
R_00000000000077,,1,,,,1,1,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,
R_00000000000078,,1,,,,1,,1,,1,1,,,,,,,,1,,,,,,,5,11,4,7,,,3,2,8,10,6,9,,1,,,,,,,,,,,,
R_00000000000079,1,,,,,,,,1,,,2,,,,,1,,,,1,3,5,8,6,,,,,7,2,,,,,,,4,,,,,,,,,,,,1,
R_00000000000080,1,2,,,1,,1,2,1,2,1,2,,4,3,,1,,,,,,,,,,,,,,,,,,,,,,,3,,5,,2,1,,4,,,,
R_00000000000081,,1,,,,1,,1,,1,1,,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,,,3,,,,,
R_00000000000082,1,2,,,1,2,1,2,2,1,1,1,,2,,3,4,,,,6,4,8,2,1,,,9,,3,5,,11,,12,,10,7,,,,,,,,,,,,,
R_00000000000083,2,1,,,2,1,,,2,1,1,,1,2,3,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,5,2,4,,,,
R_00000000000084,1,2,,,1,2,1,2,1,2,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,5,,3,1,,4,,,,
R_00000000000085,,1,,,,1,,1,,1,1,,4,3,1,2,,,,,,8,,,,1,12,5,10,,,4,6,11,7,3,2,,9,,,,,,,,,,,,
R_00000000000086,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000087,1,,,,1,,1,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,1,,3,,,,
R_00000000000088,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000089,1,3,2,,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000090,2,1,,,2,1,2,1,2,1,1,,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,1,2,3,,,,,
R_00000000000091,1,2,,,,,1,2,2,1,1,,4,2,3,,1,,,,,3,,,4,,6,7,,5,2,8,,,,,,1,,,,,,,,,,,,,
R_00000000000092,1,2,,,1,2,1,2,1,2,1,3,,1,,4,2,,,,7,2,5,11,8,4,9,3,,10,6,12,,,,,,1,,,,,,,,,,,,,
R_00000000000093,3,1,2,Izeah Garcia,2,1,1,2,2,1,1,,4,3,2,,1,,,,12,7,10,,,5,,3,,1,,2,9,4,,,11,6,8,,,,,,,,,,,1,2
R_00000000000094,,,,,1,,,,,,,,,,2,,1,,,,,,2,3,,,,,4,1,,,,,,,,,,,,,,,,,,,,,
R_00000000000095,,1,,,,1,,1,,1,1,,1,3,2,4,,,,,,,,,,1,5,11,10,,,3,2,4,8,7,9,,6,,,,,,,,,,,,
R_00000000000096,1,2,3,,1,2,1,2,1,2,1,1,,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,2,,5,,1,4,,3,,,,
R_00000000000097,1,2,3,,1,2,1,2,1,2,1,2,,3,4,,1,,,,,,,,,,,,,,,,,,,,,,,3,5,,,2,4,,1,,,,
R_00000000000098,1,,,,1,,1,,1,,1,2,4,3,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,5,,2,1,,3,,,,
R_00000000000099,2,1,,,2,1,2,1,2,1,1,,3,1,2,4,,,,,,,,,,6,8,2,4,12,,7,11,9,5,10,1,,3,,,,,,,,,,,,
R_00000000000100,2,1,,,1,2,2,1,2,1,1,,3,1,2,,4,,,,,,,4,,1,10,6,7,11,12,2,,3,,5,8,,9,,,,,,,,,,,,
R_00000000000101,3,1,2,Hieu Le,2,1,2,1,1,2,1,3,4,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000102,1,2,,,1,2,1,2,1,2,1,,,,,,1,,,,8,5,1,4,2,,,,,6,7,,,,,,,3,,,,,,,,,,,,,
R_00000000000103,2,1,,,2,1,2,1,2,1,1,2,,1,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000104,1,2,,,,,1,2,1,2,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1,,4,,,,
R_00000000000105,1,2,,,1,2,1,2,1,2,1,2,3,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000106,1,2,,,,1,1,,1,,1,1,,,,,,,,,2,6,,,,3,,,1,,,,,,5,,4,,,,,,,,,,,,,,
R_00000000000107,2,1,,,2,1,1,2,2,1,1,,,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,5,1,4,,,2,,3,,,2,1
R_00000000000108,1,,,,1,,1,,1,,,2,,,,,1,,,,1,2,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,
R_00000000000109,,1,,,,1,,1,,1,,,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,,,3,,,,,
R_00000000000110,2,1,,,2,1,2,1,2,1,1,,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
R_00000000000111,1,2,,,1,2,1,2,1,2,1,,2,,3,4,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,3,,1,,,,
R_00000000000112,2,1,,,2,1,2,1,2,1,1,,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,4,,,1,,,,,
R_00000000000113,2,1,,,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,
R_00000000000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000000115,2,1,,,2,1,2,1,,1,1,,2,1,3,4,,,,,,,,,,3,4,11,8,,,7,1,6,9,5,2,,10,,,,,,,,,,,,
R_00000000000116,2,1,,,2,1,2,1,2,1,1,,3,2,1,4,,,,,,,12,,11,2,9,3,7,,,4,6,8,5,,10,,1,,,,,,,,,,,,
R_00000000000117,1,3,2,Navpreet Khabra,1,2,1,2,1,2,1,,,,,,1,,,,2,4,5,7,1,,9,,11,3,6,,,,,12,10,8,,,,,,,,,,,,,
R_00000000000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000119,2,1,3,Navpreet Khabra,2,1,1,2,2,1,1,,2,3,4,,1,,,,,7,,8,,4,3,1,,,,6,12,9,10,2,,5,11,,,,,,,,,,,,
R_00000000000120,2,1,,,1,2,2,1,2,1,1,,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,4,,,5,,,,,
R_00000000000121,2,1,,,1,2,2,1,2,1,1,2,,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000000122,1,2,,,1,2,1,2,1,2,1,2,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000123,3,1,2,Tanios Boudames,1,2,1,2,2,1,1,2,4,,3,,1,,,,,3,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000124,2,1,,,2,1,2,1,2,1,1,,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,4,5,,,,
R_00000000000125,2,1,,,1,2,1,2,1,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000126,,1,,,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000127,,,1,Louis Mariano ,1,,1,,1,,1,2,,,,,1,,,,1,6,3,4,2,,,,,7,5,,,,,,,8,,,,,,,,,,,,,
R_00000000000128,2,1,,,2,1,2,1,2,1,1,,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000000129,1,2,,,1,2,1,2,1,2,,1,3,4,,,2,,,,4,2,8,3,7,,,,,6,5,,,,,,,1,,,,,,,,,,,,,
R_00000000000130,2,1,,,2,1,2,1,2,1,1,,4,1,3,2,,,,,,,,12,,5,8,7,6,,,1,9,11,10,2,4,,3,,,,,,,,,,,2,1
R_00000000000131,,,,,,1,,1,,1,1,,4,2,1,3,,,,,,,,,,1,9,3,6,,,11,2,7,4,8,10,12,5,,,,,,,,,,,,
R_00000000000132,1,2,,,1,2,1,2,1,2,1,2,,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000000133,1,3,2,Navpreet Khabra,1,2,2,1,1,2,1,,,,,,1,,,,,4,,,,5,,3,,,,1,,,,,,2,,,,,,,,,,,,,
R_00000000000134,2,1,,,1,2,1,2,1,2,1,,,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
R_00000000000135,1,,,,1,,,,1,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000136,2,1,,,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000137,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000138,2,1,,,2,1,2,1,2,1,1,,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000000139,,1,,,,1,,1,,1,1,,3,1,2,4,,,,,,,,,,9,4,2,1,,,3,6,8,10,5,12,7,11,,,,,,,,,,,,
R_00000000000140,2,1,3,Navpreet Khabra,2,1,2,1,2,1,1,,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,5,,2,,,,,
R_00000000000141,1,,,,1,,1,,1,,,2,,,,,1,,,,6,1,4,3,5,10,,,,7,8,9,,,,,,2,,,,,,,,,,,,,
R_00000000000142,1,,,,1,,1,,1,,1,2,,3,4,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,1,2,5,,,,
R_00000000000143,1,2,,,1,2,1,2,1,2,1,,,,,,,,,1,8,3,6,2,5,,,,,7,4,,,,,,1,9,,,,,,,,,,,,,
R_00000000000144,,,1,Ashley Selki,2,1,1,,,,,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000145,2,1,,,2,1,2,1,2,1,1,,3,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000000146,,1,,,,1,,1,,1,1,,2,1,4,3,,,,,,,,,,5,1,3,6,,,,4,2,,,,,,,,,,,,,,,,,
R_00000000000147,2,1,,,2,1,2,1,2,1,1,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000148,1,2,,,1,2,1,2,2,1,,,4,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000000149,,1,,,,1,,1,,1,1,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,,,3,,,,,
R_00000000000150,1,2,,,1,2,1,2,1,2,1,2,,,3,4,1,,,,5,1,7,3,8,9,,10,,6,4,12,,,11,,,2,,,,,,,,,,,,,
R_00000000000151,1,2,,,1,2,1,,1,2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,1,,,,
R_00000000000152,1,2,,,2,1,2,1,1,2,1,,3,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,3,,2,5,4,1,,,,,
R_00000000000153,1,3,2,,1,2,1,2,1,2,1,2,,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,3,,5,,4,1,,2,,,,
R_00000000000154,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000155,2,1,,,1,2,1,2,2,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,2,1,,,,
