ResponseId,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
R_00000000000018,2,1,,,1,1,2,1,2,1,2,,,,,1,,4,,2,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000019,2,1,3,2,1,1,2,2,1,2,1,,,,,2,,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000000020,2,1,3,2,1,1,2,2,1,2,1,,,,,,,2,,1,3,4,,,,,,,,,3,8,,2,11,,,1,,12,10,7,4,,9,5,6,,,,,,,,,,,,,
R_00000000000021,1,3,2,2,1,1,2,2,1,2,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000022,2,1,3,2,1,2,1,2,1,2,1,,,,,4,,3,,2,1,,,,,,11,9,10,,4,1,,,,,,3,,8,,5,7,,12,6,2,,,,,,,,,,,,,
R_00000000000023,,1,,,1,1,,,1,,1,,,,,3,,4,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,4,,2,,,3,,,,
R_00000000000024,2,1,3,2,1,1,2,2,1,2,1,,,,,3,2,4,,,1,,,,,,,,,,11,10,,4,,,,7,,9,6,5,8,,3,1,2,,,,,,,,,,,,,
R_00000000000025,2,1,,,1,1,,,1,,1,,,,,3,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,4,,1,,,3,,,,
R_00000000000026,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000000027,2,1,3,2,1,1,2,2,1,1,2,,,,,2,,3,,4,1,,,,,,,,,,8,2,,3,,,,11,,4,6,7,5,,1,10,9,,,,,,,,,,,,,
R_00000000000028,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,3,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,,3,,,4,,,,
R_00000000000029,3,1,2,2,1,1,2,1,2,1,2,,,,,1,,3,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,
R_00000000000030,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,3,,4,,,1,,,,
R_00000000000031,2,1,3,2,1,1,2,2,1,1,2,,,,,3,,1,,4,2,,,,,,,,,,,3,,,,,,,,,,4,2,,,,1,,,,,,,,,,,,,
R_00000000000032,3,2,1,1,2,2,1,1,2,2,1,,,,,,4,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000000033,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000000034,2,1,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000035,,1,,,1,1,,,1,,1,,,,,1,,3,,2,4,,,,,,,,,,10,3,,6,,,,4,,7,11,8,9,,5,2,1,,,,,,,,,,,,,
R_00000000000036,2,3,1,1,2,2,1,1,2,1,2,,,,,,2,,1,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,4,,,,,
R_00000000000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000038,2,3,1,1,2,2,1,1,2,1,2,,,,,,1,,2,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000039,1,2,3,2,1,1,2,,,1,2,,,,,,,2,,1,,3,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
R_00000000000040,2,3,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,,,,4,,,,3,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
R_00000000000041,,1,,,1,1,,,1,,1,,,,,3,,2,,4,1,,,,,,,,,,3,8,,10,,,,6,,1,2,7,4,,5,11,9,,,,,,,,,,,,,
R_00000000000042,2,1,3,,1,1,,,1,,1,,,,,4,,2,,1,3,,,,,,,,,,10,2,,8,,,,11,,6,9,5,4,,7,3,1,,,,,,,,,,,,1,
R_00000000000043,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000000044,,,1,1,,,1,1,,1,,,,,,,3,,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,4,3,,,,,
R_00000000000045,,,,2,1,2,1,1,2,1,2,,,,,,1,,4,,,2,3,,,4,2,3,7,11,,,10,,8,5,9,,1,,,,,6,,,,,,,,,,,,,,,,
R_00000000000046,3,2,1,1,2,2,1,1,2,2,1,,,,,,2,,4,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000047,2,1,3,2,1,1,2,2,1,1,2,,,,,4,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,4,,1,,,2,,,,
R_00000000000048,,1,,,1,1,,,1,,1,,,,,4,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,,3,,,4,,,,
R_00000000000049,,1,,,1,1,,,1,,1,,,,,1,,2,,3,4,,,,,,,,,,11,5,,2,,,,6,,1,9,7,8,,3,10,4,,,,,,,,,,,,,
R_00000000000050,3,2,1,1,2,,1,1,2,,1,,,,,,2,,3,,,1,4,,,3,4,10,8,7,,,9,,1,11,12,,5,,,,,6,2,,,,,,,,,,,,,,,
R_00000000000051,1,3,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,
R_00000000000052,2,1,3,2,1,1,2,2,1,2,1,,,,,2,,4,,1,3,,,,,,,,,,5,9,,,,,,,,4,8,2,1,,7,3,6,,,,,,,,,,,,,
R_00000000000053,,,1,1,,,1,1,,1,,,,,,,2,,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000054,3,2,1,1,2,1,2,1,2,,1,,,,,,1,,4,,,3,2,,,2,5,4,10,11,,,1,,9,8,6,,7,,,,,3,,,,,,,,,,,,,,,,
R_00000000000055,3,1,2,2,1,2,1,1,2,1,2,,,,,,4,,1,,,3,2,,,2,12,10,6,3,,7,11,,5,9,1,,8,,,,,4,,,,,,,,,,,,,,,2,1
R_00000000000056,3,2,1,1,2,,1,1,,1,,,,,,,4,,1,,,3,2,,,2,5,9,3,8,,,6,,4,1,11,,7,,,12,,10,,,,,,,,,,,,,,,,1
R_00000000000057,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,2,,1,4,,,,,,,,,,6,9,,2,,,,3,10,12,1,4,5,,8,7,11,,,,,,,,,,,,,
R_00000000000058,1,2,3,2,1,2,1,1,2,2,1,,,,,1,4,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,1,,,4,3,,,,,
R_00000000000059,2,1,3,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000060,3,2,1,1,,2,1,1,,1,2,,,,,,1,,2,,,4,3,,,4,,5,8,9,,,6,,7,3,2,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000000061,3,1,2,2,1,1,2,2,1,2,1,,,,,3,4,,,1,,,2,,,6,,,,,9,4,10,11,,8,,,,,7,1,2,5,3,,12,,,,,,,,,,,,,
R_00000000000062,3,1,2,2,1,1,2,1,2,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000063,2,1,3,2,1,1,2,2,1,1,2,,,,,1,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,2,,3,,,5,,,,
R_00000000000064,3,2,1,1,2,2,1,1,2,1,2,,,,,,1,,4,,,3,2,,,4,5,11,10,9,,,3,,8,2,1,,6,,,,,7,,12,,,,,,,,,,,,,,
R_00000000000065,,,1,1,,,1,1,,1,,,,,,,2,,3,,,4,1,,,7,11,3,9,8,,,6,,4,2,1,,10,,,,,5,,,,,,,,,,,,,,,,
R_00000000000066,,,1,1,,,1,1,,1,,,,,,,1,,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
R_00000000000067,,1,,,1,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000000068,,,1,,1,1,,1,,,1,,,,,2,,,1,,,,,,,5,,7,,,,,4,,,1,2,,,,,,,3,,6,,,,,,,,,,,,,,
R_00000000000069,3,1,2,2,1,1,2,2,1,1,2,,,,,4,,3,,2,1,,,,,,,,,,7,8,,2,,,11,,,5,12,3,9,6,1,10,4,,,,,,,,,,,,,
R_00000000000070,2,1,3,1,2,1,2,1,2,2,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000071,1,2,3,2,1,1,2,2,1,2,1,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,
R_00000000000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,5,,4,,,,
R_00000000000073,,,1,1,,,1,1,,1,,,,,,,3,,2,,,4,1,,,7,8,2,5,10,,,6,,,4,3,,9,,,,,1,,,,,,,,,,,,,,,,
R_00000000000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000075,2,3,1,1,2,2,1,1,2,2,1,,,,,,2,,4,,,1,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000076,3,1,2,2,1,1,2,2,1,1,2,,,,,3,4,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,1,2,3,,,,,,
R_00000000000077,1,3,2,1,2,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000078,3,1,2,2,1,1,2,2,1,1,2,,,,,2,,3,,1,4,,,,,,,,,,10,1,,7,,,,4,,11,9,3,6,,5,8,2,,,,,,,,,,,,,
R_00000000000079,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,3,,2,4,,,,,,,,,,8,3,,1,12,,,9,,4,11,10,7,,5,6,2,,,,,,,,,,,,,
R_00000000000080,3,1,2,2,1,2,1,2,1,2,1,,,,,,4,2,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000000081,,,,2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000082,2,,1,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000083,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,4,,,3,1,,,9,8,3,11,10,,,6,,4,7,1,,5,,,,,2,,,,,,,,,,,,,,,,
R_00000000000084,1,3,2,1,2,2,1,1,2,1,2,,,,,,1,,2,,,4,3,,,5,3,7,8,6,,,4,,9,1,,12,10,,,,,2,11,,,,,,,,,,,,,,,
R_00000000000085,3,1,2,2,1,1,2,2,1,1,2,,,,,4,,2,,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000086,,,1,1,,,1,1,,1,,,,,,,3,,1,,,4,2,,,4,8,5,1,10,,,9,,3,,2,,7,,,,,6,,,,,,,,,,,,,,,,
R_00000000000087,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,1,,3,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000088,3,2,1,1,2,2,1,1,2,1,2,,,,,,1,,4,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,
R_00000000000089,3,1,2,2,1,1,2,2,1,1,2,,,,,3,,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,4,,2,,,1,,,,
R_00000000000090,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,3,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,5,2,4,,,,,
R_00000000000091,2,1,3,2,1,1,2,2,1,2,1,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000000092,,1,,,1,1,,,1,,1,,,,,1,,3,,4,2,,,,,,,,,,3,8,,1,,,,9,,2,6,5,10,,11,7,4,,,,,,,,,,,,,
R_00000000000093,1,2,3,2,1,2,1,1,2,2,1,,,,,2,1,4,3,,,,,,,1,,,,,,,,,,,,,,,,3,,2,,4,,,,,,,,,,,,,,
R_00000000000094,2,1,3,2,1,1,2,2,1,2,1,,,,,2,,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000096,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,2,,3,4,,,,,,,,,,12,1,,4,,,,10,,5,3,7,6,2,8,9,11,,,,,,,,,,,,1,2
R_00000000000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
R_00000000000098,,1,2,1,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000099,,,1,1,,,1,1,,1,,,,,,,4,,3,,,1,2,,,4,8,10,7,9,,,1,,6,5,3,,11,,,,,2,,,12,,,,,,,,,,,,,
R_00000000000100,3,1,2,2,1,1,2,2,1,1,2,,,,,3,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000101,2,1,3,,1,2,1,2,1,2,1,,,,,4,,1,,2,,3,,,,,,,,,9,4,,2,3,,,1,,6,,7,5,,8,,10,,,,,,,,,,,,,
R_00000000000102,2,1,3,2,1,1,2,2,1,,1,,,,,4,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,5,,3,,,1,,,,
R_00000000000103,,1,,,1,1,,,1,,,,,,,1,,4,,2,3,,,,,,,,,,6,1,,11,,,,3,,7,9,8,4,,10,5,2,,,,,,,,,,,,,
R_00000000000104,3,1,2,2,1,2,1,2,1,1,2,,,,,1,4,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,4,1,,,,
R_00000000000105,3,1,2,2,1,2,1,2,1,2,1,,,,,3,,2,,4,1,,,,,,,,,,7,5,,10,12,,,1,,2,8,3,6,,4,11,9,,,,,,,,,,,,,
R_00000000000106,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,
R_00000000000107,2,1,3,2,1,1,2,2,1,1,2,,,,,2,,3,,1,4,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000000108,3,1,2,2,1,2,1,2,1,2,1,,,,,3,,4,,1,2,,,,,,,,,,8,4,,2,1,,,3,,5,7,11,9,,12,10,6,,,,,,,,,,,,,
R_00000000000109,,,1,1,,,1,1,,1,,,,,,,2,,1,,,4,3,,,1,,2,3,,,,4,,6,8,7,,,,,,,5,,,,,,,,,,,,,,,,
R_00000000000110,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,3,,1,2,,,,,,,,,,8,4,,11,,,,7,,3,10,6,5,,2,9,1,,,,,,,,,,,,,
R_00000000000111,2,1,3,2,1,1,2,2,1,1,2,,,,,2,,3,,1,4,,,,,,,,8,,9,2,,,7,6,4,5,,12,3,11,10,,,,1,,,,,,,,,,,,,
R_00000000000112,2,1,3,1,2,1,2,2,1,2,1,,,,,,,1,2,4,3,,,,,,,,7,,,2,,,,,6,,,4,,,3,5,1,,,,,,,,,,,,,,,
R_00000000000113,2,1,,,1,1,,,1,,1,,,,,1,,3,,2,4,,,,,,,,,,7,1,,11,,,,4,,6,9,8,5,,3,10,2,,,,,,,,,,,,,
R_00000000000114,,1,,,1,1,,,1,,1,,,,,2,,1,,3,4,,,,,,,,,,8,7,,1,,,,6,,3,10,9,2,,11,5,4,,,,,,,,,,,,,
R_00000000000115,3,1,2,2,1,1,2,1,2,1,2,,,,,3,,4,,,,1,2,,,11,9,,,12,6,3,7,5,2,10,8,,,,,1,,,,,4,,,,,,,,,,,,,
R_00000000000116,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000117,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,4,,2,,,3,,,,
R_00000000000118,2,1,3,2,1,1,2,2,1,1,2,,,,,2,,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,2,,4,,,3,,,,
R_00000000000119,2,3,1,1,2,2,1,1,2,1,2,,,,,,1,,4,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,1,4,,,,,
R_00000000000120,2,1,3,2,1,1,2,2,1,1,2,,,,,1,,2,,3,4,,,,,,,,4,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,
R_00000000000121,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,2,,,,3,4,,,,4,5,,,11,7,8,1,3,,,,10,2,,,,9,12,,6,,,,,,,,,,,,,
R_00000000000122,3,2,1,1,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000123,2,3,1,2,1,2,1,1,2,2,1,,,,,,3,,2,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,1,,,,5,,,,
R_00000000000124,2,1,3,2,1,1,2,2,1,,,,,,,4,,2,,3,1,,,,,,,,,,6,4,,5,,,,1,,,,3,2,,,,,,,,,,,,,,,,,
R_00000000000125,2,1,,,1,1,2,2,1,2,1,,,,,4,,3,,2,1,,,,,,,,,,9,2,,5,,,,4,,6,11,3,7,,1,8,10,,,,,,,,,,,,,
R_00000000000126,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,1,,,3,2,,,6,12,4,7,11,5,,2,,8,3,1,,9,,,,,10,,,,,,,,,,,,,,,,
R_00000000000127,3,2,1,2,1,1,2,1,2,2,1,,,,,,4,3,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000000128,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,4,,5,,,1,,,,
R_00000000000129,2,1,3,1,2,2,1,2,1,2,1,,,,,4,,2,,1,3,,,,,,,,,,,1,,2,,,,,,4,,,3,,,,,,,,,,,,,,,,,
R_00000000000130,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000000131,,,1,1,,,1,1,,1,,,,,,,3,,1,,,4,2,,,3,,4,1,,,,2,,8,6,5,,,,,,,7,,,,,,,,,,,,,,,,
R_00000000000132,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000000133,3,1,2,2,1,1,2,2,1,2,1,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,1,2
